name,combined_features
Silverfall,RPG Single-player RPG;Hack and Slash;Action RPG
City Life 2008,Simulation;Strategy Single-player Simulation;Strategy;City Builder
Silverfall: Earth Awakening,RPG Single-player;Multi-player RPG;Hack and Slash;Action RPG
S.T.A.L.K.E.R.: Shadow of Chernobyl,Action;RPG Single-player;Multi-player Atmospheric;Post-apocalyptic;Open World
Full Spectrum Warrior,Action;Strategy Single-player;Multi-player;Co-op Strategy;Action;Tactical
Full Spectrum Warrior: Ten Hammers,Action;Strategy Single-player;Multi-player;Co-op Strategy;Action;Tactical
Company of Heroes - Legacy Edition,Violent;Action;Strategy Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud Strategy;RTS;World War II
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Strategy Single-player;Multi-player;Steam Trading Cards;Steam Cloud Strategy;Warhammer 40K;RTS
"Warhammer® 40,000: Dawn of War® - Dark Crusade",Strategy Single-player;Multi-player;Steam Cloud Strategy;Warhammer 40K;RTS
Total War: MEDIEVAL II – Definitive Edition,Strategy Single-player;Multi-player;Steam Trading Cards Strategy;Medieval;Historical
Condemned: Criminal Origins,Action Single-player Horror;Action;Atmospheric
Rome: Total War™ - Collection,Strategy Single-player;Multi-player;Steam Trading Cards Strategy;Historical;Rome
Rome: Total War™ - Alexander,Strategy Single-player;Multi-player Strategy;RTS;Historical
Medieval II: Total War™ Kingdoms,Strategy Single-player;Multi-player Strategy;Medieval;Historical
Heroes of Annihilated Empires,Strategy Single-player;Multi-player Strategy;RTS;RPG
Cossacks: Back to War,Strategy Single-player;Multi-player Strategy;RTS;Classic
Cossacks: Art of War,Strategy Single-player Strategy;RTS;Historical
Cossacks: European Wars,Strategy Single-player Strategy;RTS;Historical
Cossacks II: Battle for Europe,Strategy Single-player;Multi-player;Online Multi-Player;Local Multi-Player Strategy;RTS;Historical
Zen of Sudoku,Casual;Indie Single-player Casual;Indie;Puzzle
Natural Selection 2,Action;Indie;Strategy Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor Multiplayer;Strategy;FPS
STAR WARS™ Republic Commando™,Action Single-player;Multi-player;Local Multi-Player;Steam Cloud Star Wars;Action;FPS
Indiana Jones® and the Fate of Atlantis™,Adventure Single-player;Steam Cloud Adventure;Point & Click;Classic
