name,combined_features
Blue Solar: Chaos War,Adventure;Indie;Strategy Single-player;Steam Trading Cards;Steam Cloud Adventure;Strategy;Indie
Stars,Casual;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards Indie;Casual;Simulation
Puzzle Cross,Adventure;Casual;Indie;Early Access Single-player;Steam Workshop;Includes level editor Early Access;Indie;Adventure
Hold the door!,Action;Free to Play;Early Access Single-player Early Access;Free to Play;Action
Lost Socks: Naughty Brothers,Action;Indie Single-player;Full controller support;Steam Trading Cards Action;Indie;Platformer
Black Moon Chronicles,Strategy Single-player Strategy;RTS
SturmFront - The Mutant War: Übel Edition,Sexual Content;Nudity;Violent;Gore;Action;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Action;Gore;Violent
Bulletstorm: Full Clip Edition,Nudity;Violent;Gore;Action;Adventure Single-player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Action;Gore;Violent
Francisca,Action;Adventure;Casual;Indie Single-player;Steam Trading Cards Indie;Action;Casual
Unforeseen Incidents,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards Adventure;Indie;Point & Click
The Orb Chambers II,Action;Casual;Indie;Strategy Single-player;Steam Achievements;Steam Trading Cards Strategy;Action;Indie
Don't Disturb,Indie Single-player;Steam Trading Cards Indie;Singleplayer;Puzzle
DCR: Drive.Crash.Repeat,Adventure;Casual;Indie;Racing Single-player;Steam Achievements;Steam Trading Cards;Stats;Steam Leaderboards Indie;Casual;Adventure
Slayer Shock,Action;Indie;RPG;Strategy Single-player;Steam Achievements;Full controller support;Steam Cloud Action;Indie;RPG
Star Project,Action;Indie;RPG Single-player;Steam Trading Cards Action;Indie;RPG
Totem,Action;Adventure;Indie;RPG Single-player;Steam Trading Cards Action;Adventure;Indie
Sig.NULL,Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Indie;Casual;Puzzle
Hikikomori No Chuunibyou,Action;Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Action;Adventure;Indie
Phantasmagoria 2: A Puzzle of Flesh,Adventure Single-player Adventure;FMV;Horror
Phantasmagoria,Adventure Single-player Adventure;FMV;Horror
Fast and Curious,Action;Adventure;Casual Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards Adventure;Action;Casual
Invisible Mind,Adventure;Indie Single-player;Steam Trading Cards Indie;Adventure
Death's Life,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards Indie;Casual;Puzzle
Anicon - Animal Complex - Cat's Path,Adventure;Casual;Indie Single-player;Steam Trading Cards Adventure;Indie;Casual
Ctrl CV,Action;Casual;Free to Play;Indie Single-player;Steam Cloud Free to Play;Action;Indie
Drayt Empire,Indie;RPG Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Indie;RPG;RPGMaker
Interstellar Logistics Inc,Casual Single-player Casual;Puzzle;Sci-fi
Orczz,Strategy Single-player;Steam Achievements;Steam Trading Cards;Captions available Strategy;Tower Defense;Funny
Super Markup Man,Casual;Indie Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Indie;Casual;Programming
Monsters' Den: Book of Dread,Casual;Indie;RPG;Strategy Single-player;Steam Trading Cards;Steam Cloud RPG;Casual;Strategy
You Deserve,Violent;Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Commentary available Indie;Adventure;Violent
BERSERK and the Band of the Hawk,Sexual Content;Nudity;Violent;Gore;Action Single-player;Steam Achievements;Full controller support;Steam Cloud Anime;Action;Hack and Slash
Heartomics: Lost Count,Sexual Content;Nudity;Action;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards Bullet Hell;Shoot 'Em Up;Sexual Content
Boulder Dash - 30th Anniversary,Action;Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Workshop;Includes level editor Action;Indie;Casual
Unbound,Animation & Modeling;Design & Illustration;Game Development;Early Access Single-player;Multi-player;Online Multi-Player Early Access;Design & Illustration;Animation & Modeling
"Warhammer 40,000: Sanctus Reach",Strategy Single-player;Multi-player;Steam Trading Cards Strategy;Warhammer 40K;Turn-Based
Tangled Up!,Action;Adventure;Casual;Indie;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards Casual;Indie;Action
Redactem,Action;Casual;Indie;Strategy Single-player;Steam Achievements;Full controller support Casual;Indie;Action
Airport Fire Department - The Simulation,Action;Simulation Single-player;Steam Achievements Simulation;Action
Firefighters - The Simulation,Action;Simulation Single-player;Steam Achievements Simulation;Action
Roadworks - The Simulation,Simulation Single-player;Steam Achievements Simulation
Plant Fire Department - The Simulation,Action;Simulation Single-player;Steam Achievements Simulation;Action
Professional Construction - The Simulation,Simulation Single-player;Steam Achievements Simulation
VoxVR,Animation & Modeling;Design & Illustration;Utilities Steam Workshop;Steam Cloud Animation & Modeling;Design & Illustration;Utilities
ACE COMBAT™ 7: SKIES UNKNOWN,Action;Simulation Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Flight;Action;Story Rich
Ultimate General: Civil War,Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards Strategy;War;Historical
THE GREY MAN,Adventure;Casual;Indie Single-player;Steam Trading Cards Casual;Adventure;Indie
Cold Vengeance,Action;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards Action;Indie;Arcade
Strike.is: The Game,Action;Free to Play;Massively Multiplayer Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases Free to Play;Massively Multiplayer;Action
Houdini Indie,Animation & Modeling;Design & Illustration;Game Development Partial Controller Support;Steam Cloud Animation & Modeling;Game Development;3D
The Multidimensional Underwear Drawer,Casual;Indie;Simulation;Early Access Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Early Access;Indie;Visual Novel
Autumn Park Mini Golf,Casual;Sports Single-player Sports;Casual
Laser Lasso BALL,Action;Indie;Sports Single-player;Local Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards Sports;Indie;Action
The Last Sniper VR,Action;Adventure;Simulation Single-player Action;Adventure;Simulation
Star Explorers,Action;Adventure;Indie;RPG;Simulation Single-player;Steam Achievements;Steam Trading Cards Action;Adventure;Indie
Osy Osmosis,Action;Adventure;Casual;Indie;Simulation Single-player;Steam Achievements;Partial Controller Support;Steam Cloud Education;Science;Indie
50 years,Indie;Strategy Single-player;Steam Achievements;Steam Trading Cards Strategy;Indie;Turn-Based Strategy
Quest for Glory 1-5,Adventure Single-player Adventure;1990's;1980s
Voodoo Garden,Casual;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Casual;Indie;Simulation
Avalon: The Journey Begins,Adventure;Indie Single-player;Steam Achievements Indie;Adventure;Space
SENRAN KAGURA ESTIVAL VERSUS,Action Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Nudity;Sexual Content;Anime
Tank Hero VR,Indie;RPG;Simulation;Strategy Single-player Simulation;Strategy;RPG
Batman™: Arkham VR,Adventure Single-player;Steam Achievements;Full controller support;Steam Trading Cards VR;Adventure;Batman
The Janitor,Action;Indie Single-player;Steam Achievements Indie;Action;Horror
The Return Home Remastered,Action;Adventure;Casual;Indie Single-player;Steam Trading Cards;Steam Cloud Action;Indie;Adventure
Gunnihilation,Action;Indie;Early Access Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support Early Access;Action;Indie
"Calm Down, Stalin",Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Indie;Casual;Memes
Kisaragi no Hougyoku,Adventure;Casual Single-player Adventure;Casual;Anime
Azulgar Star Commanders,Action;Adventure;Indie;Simulation;Early Access Single-player;Multi-player;Online Multi-Player Early Access;Action;Simulation
Heroes from the Past: Joan of Arc,Casual Single-player Casual;Match 3
The Agency of Anomalies: Mystic Hospital Collector's Edition,Adventure;Casual Single-player Adventure;Casual;Hidden Object
Off the Record: The Italian Affair Collector's Edition,Adventure;Casual Single-player Adventure;Casual;Hidden Object
Echoes of the Past: Kingdom of Despair Collector's Edition,Adventure;Casual Single-player Adventure;Casual;Hidden Object
Fairy Maids,Casual Single-player;Steam Trading Cards Casual
Black Hat Cooperative,Action;Casual;Indie;Strategy Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support Strategy;Action;Indie
Red is Dead - The Complex Fun Random Level Fast Strategy Game,Action;Adventure;Casual;Indie;Strategy Single-player;Steam Trading Cards Strategy;Indie;Action
Dungeon Punks,Action;Adventure;Indie;RPG Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Action;Indie;Adventure
Frantic Freighter,Casual;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards Indie;Casual;Simulation
Angels & Demigods - SciFi VR Visual Novel,Adventure;Free to Play;Indie;RPG Single-player Free to Play;RPG;Adventure
miniLAW: Ministry of Law,Action;Early Access Single-player;Full controller support;Steam Trading Cards Early Access;Action;Cyberpunk
Sentry Knight Tactics,Action;Adventure;Indie;RPG;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Strategy;Adventure;Indie
Samurai Wars,Action;Indie Single-player;Multi-player;Local Multi-Player;Steam Trading Cards Action;Indie;Pixel Graphics
Hurricane,Action;Adventure;Indie;Massively Multiplayer;RPG;Early Access Multi-player;Co-op;Steam Trading Cards Early Access;Adventure;Action
Marble Land,Indie Single-player;Full controller support;Steam Trading Cards Indie;Puzzle;Sci-fi
Maraiyum: Rise of the Setting Sun,Indie;RPG;Simulation Single-player;Steam Achievements;Steam Cloud Indie;RPG;Simulation
Super Star,Adventure;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Sexual Content;Nudity;Mature
Deserted: The Story of Peter,Adventure;Indie Single-player Indie;Adventure;RPGMaker
Dig 4 Destruction,Action;Casual;Massively Multiplayer Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards Action;Casual;Massively Multiplayer
White Noise 2,Action;Adventure;Indie;Strategy Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Horror;Multiplayer;Survival Horror
Hospitalize,Indie;Simulation;Early Access Single-player Early Access;Simulation;Indie
Roomscale Tower,Action;Adventure;Early Access Single-player;Steam Trading Cards Early Access;Action;Adventure
Four Last Things,Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards Adventure;Indie;Point & Click
NEO-NOW!,Action;Adventure;Indie;RPG;Strategy Single-player;Full controller support;Steam Trading Cards Action;Strategy;Adventure
N0-EXIT,Action;Adventure;Indie;RPG;Strategy;Early Access Single-player;Full controller support;Steam Trading Cards Early Access;Adventure;Action
Space Rangers: Quest,Adventure;RPG Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Adventure;RPG;Space
Security Hole,Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards Indie;Cyberpunk;Puzzle
Mahluk:Dark Demon,Action;Adventure;Indie;RPG Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards Action;Adventure;RPG
DYE,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Indie;Action;Adventure
911 Operator,Casual;Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor Strategy;Simulation;Management
Duck Season,Action;Adventure;Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;SteamVR Collectibles Action;Horror;VR
Fictorum,Action;Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards Action;RPG;Indie
INVASION!,Adventure;Casual Single-player Adventure;Casual;VR
Fenimore Fillmore: The Westerner,Adventure;Indie Single-player Adventure;Indie;Point & Click
The Seeker,Action;Indie;Early Access Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Stats Early Access;Action;Indie
Starship Disco,Action;Indie Single-player;Steam Achievements;Partial Controller Support Action;Indie;VR
Fall of Freya (Alpha 1),Action;Adventure;Casual;Indie;RPG;Strategy;Early Access Single-player Early Access;Action;Indie
Saving Harmony,Action;Adventure;Indie Single-player Action;Adventure;Indie
SPLASH BLAST PANIC,Action;Casual;Indie Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud Indie;Action;Casual
Elven Assassin,Action;Adventure;Indie;Simulation;Early Access Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Stats;Steam Leaderboards Early Access;Action;Simulation
Ice Caves of Europa,Action;Adventure;Indie;Simulation Single-player;Full controller support;Steam Leaderboards Adventure;Indie;Action
A Detective's Novel,Adventure;Indie Single-player;Steam Trading Cards Adventure;Indie;Visual Novel
The Life Of Greather,Adventure;Indie;RPG Single-player;Steam Trading Cards Adventure;RPG;Indie
Patterna,Indie Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Stats;Includes level editor Puzzle;Indie;Great Soundtrack
Candy Smash VR,Action;Casual;Indie;Simulation;Sports Single-player Action;Casual;Sports
Railway Empire,Simulation;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud Strategy;Management;Simulation
Star Tactics Redux,Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats Strategy;Indie;Simulation
Will of the Gods,Casual;Indie;Strategy Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats Casual;Strategy;Indie
Detective Hank and the Golden Sneeze,Adventure;Indie Single-player;Partial Controller Support Indie;Adventure;Visual Novel
Endless Fables: The Minotaur's Curse,Adventure;Casual Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Adventure;Casual;Hidden Object
Chernobyl VR Project,Education;Early Access Steam Achievements Early Access;Education;VR
Planet Nomads,Action;Adventure;Indie;Simulation;Early Access Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud Early Access;Open World;Survival
3..2..1..Grenades!,Action;Indie Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support Indie;Action;4 Player Local
Russian VR Coasters,Action;Casual;Indie;Simulation Single-player;Full controller support Action;Simulation;Indie
The Longest Five Minutes / 世界一長い５分間,Adventure;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Adventure;RPG;Pixel Graphics
Manual Samuel,Adventure;Indie Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Local Co-Op;Dark Humor;Singleplayer
SHENZHEN I/O,Indie;Simulation Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor Programming;Simulation;Puzzle
Celeste,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Platformer;Pixel Graphics;Difficult
Graveyard Smash,Action;Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards Action;Indie;Casual
Happy Pong,Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards Indie;Casual;Psychedelic
The Cold War Era,Indie;Simulation;Strategy Single-player;Steam Achievements Simulation;Indie;Strategy
Gangs of Space,Action;Free to Play;Indie;Massively Multiplayer;RPG;Early Access Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support Early Access;Free to Play;Massively Multiplayer
The Cooking Game,Casual;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards Casual;Indie;Simulation
Battlerite,Action;Free to Play Single-player;Multi-player;Online Multi-Player;In-App Purchases;Steam Cloud PvP;Multiplayer;Competitive
Detective Hayseed - Hollywood,Adventure;Indie;RPG Single-player;Steam Achievements Adventure;Indie;RPG
Along the Edge,Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Indie;Visual Novel;Choices Matter
Optika,Adventure;Casual;Indie Single-player;Steam Achievements;Steam Trading Cards Casual;Indie;Adventure
Escape from Pleasure Planet,Nudity;Adventure Single-player;Partial Controller Support Nudity;Adventure;Point & Click
Malazard: The Master of Magic,Action;Indie Single-player;Steam Achievements;Stats;Steam Leaderboards Action;Indie;VR
The Watchmaker,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Cloud Indie;Action;Adventure
StarSmashers,Action;Adventure;Indie;Strategy Single-player;Steam Achievements Action;Adventure;Strategy
Team Racing League,Racing;Early Access Single-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Partial Controller Support;Stats;Steam Leaderboards Early Access;Racing;Co-op
Salvaged,Action;Strategy;Early Access Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Early Access;Strategy;Action
The God's Chain,Action Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards Action;FPS;Third-Person Shooter
Hover Havoc,Action;Adventure;Casual;Racing Single-player;Local Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Stats Action;Adventure;Racing
The Unwelcomed,Casual;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Indie;Casual;Simulation
SaberSaw VR,Action;Casual;Indie Single-player Action;Indie;Casual
"Grid Legion, Storm",Free to Play;Indie;Strategy Single-player;Online Multi-Player;Partial Controller Support Free to Play;Indie;Strategy
Broomball VR,Adventure Single-player Adventure;VR
Tears Revolude,Adventure;Casual;Indie;RPG Single-player;Full controller support RPG;Adventure;Indie
Blockships,Action;Casual;Indie;Early Access Local Multi-Player;Shared/Split Screen;Partial Controller Support Early Access;Space;Sci-fi
Lew Pulsipher's Doomstar,Strategy Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Turn Notifications Strategy;Board Game;Turn-Based
Slavistan,Action;Indie;Simulation Single-player;Steam Trading Cards;Stats Indie;Simulation;Action
Sorcery! Part 4,Adventure;Indie;RPG Single-player Adventure;RPG;Indie
MXGP2 - The Official Motocross Videogame Compact,Racing;Simulation;Sports Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud Simulation;Racing;Motocross
Brick Stack VR,Casual;Indie Single-player;Steam Achievements;Steam Leaderboards Indie;Casual;Puzzle
Castle Invasion: Throne Out,Action;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Action;Indie
Pixel Puzzles 2: RADical ROACH,Action;Casual;Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Casual;Indie;Action
39 Days to Mars,Adventure;Indie Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Indie;Co-op;Adventure
Elves Adventure,Action;Adventure Single-player;Steam Trading Cards Adventure;Action;FPS
Warcube,Action;Adventure;Indie;RPG;Early Access Single-player Early Access;Action;Adventure
Secrets of Me,Adventure Single-player;Steam Achievements;Steam Trading Cards Adventure;Visual Novel;Otome
Gakuen Club,Adventure Single-player;Steam Achievements;Steam Trading Cards Adventure;Otome;Visual Novel
The Charming Empire,Adventure Single-player;Steam Achievements;Steam Trading Cards Dating Sim;Adventure;Otome
Ghost Pursuit VR,Action;Adventure;Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Includes level editor Action;Adventure;Indie
Valentino Rossi The Game Compact,Racing;Simulation;Sports Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud Simulation;Racing;Sports
Tribe Of Pok,Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Trading Cards Indie;Simulation;Strategy
Carmageddon: Max Damage,Action Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Action;Gore;Racing
Neon Space 2,Action;Adventure;Casual;Indie;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Action;Indie;Casual
King of Spin VR,Action;Casual;Simulation;Sports Single-player;Local Multi-Player Action;Casual;Simulation
Super Rock Blasters!,Action;Indie Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Stats Action;Indie;Arcade
Apocalipsis,Adventure;Casual;Indie Single-player;Steam Achievements Adventure;Casual;Indie
Diamond Joyce and the Secret of Crystal Cave,Adventure;Indie;Strategy Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Adventure;Indie;Strategy
Foxhole,Action;Indie;Massively Multiplayer;RPG;Strategy;Early Access Multi-player;Online Multi-Player;MMO Early Access;Strategy;Massively Multiplayer
Stream Buddy,Utilities;Video Production;Early Access Steam Achievements Early Access;Utilities;Video Production
Let Them Come,Violent;Gore;Action;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards Action;Gore;Indie
Antihero,Indie;Strategy Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud Strategy;Indie;Board Game
The Crystal Nebula,Action;Indie Single-player Action;Indie;VR
Glaive,Violent;Gore;Action;Indie Single-player Action;Indie;Gore
Holy Potatoes! We’re in Space?!,Adventure;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Indie;Simulation;Adventure
Trimmer Tycoon,Casual;Free to Play;Indie;Simulation;Strategy Single-player;Steam Achievements;Steam Leaderboards Free to Play;Simulation;Strategy
Whispers,Action;Adventure;Indie Single-player;Steam Trading Cards Indie;Action;Adventure
Switch - Or Die Trying,Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Indie;Adventure;Platformer
Shop Heroes,Casual;Free to Play;Massively Multiplayer;RPG;Simulation;Strategy Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;In-App Purchases Free to Play;Simulation;Casual
Dragon Bros,Action;Casual;Indie Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats Action;Indie;Casual
VR Fractals,Design & Illustration;Utilities;Video Production Full controller support;Includes level editor Utilities;Design & Illustration;Video Production
Cladun Returns: This Is Sengoku! / クラシックダンジョン 戦国,Action;RPG Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Action;RPG;Dungeon Crawler
My Lil' Donut,Simulation Single-player Simulation;VR
Quip Anomaly,Action;Indie Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards Action;Indie
Party Panic,Action;Casual;Indie Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support Casual;Indie;Action
Shadows of Adam,Indie;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud RPG;Indie;Pixel Graphics
RollerForce,Action;Casual;Indie;Racing Single-player Action;Indie;Racing
A Divided Light,Casual;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards Indie;Casual
Going Up,Action;Early Access Single-player;Steam Leaderboards Early Access;Action;VR
Sky Valley,Casual;Indie;Racing;Simulation Single-player;Steam Achievements;Steam Trading Cards Casual;Indie;Simulation
Five Nights at Freddy's: Sister Location,Action;Indie;Simulation Single-player Horror;Survival Horror;Singleplayer
ORBITAL,Casual;Indie Single-player;Steam Trading Cards Casual;Indie;Space
Levantera: Tale of The Winds,Adventure;Early Access Single-player;Full controller support Early Access;Adventure;Pirates
Dinosaur Forest,Action;Indie Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards Action;Indie;Dinosaurs
Twisty's Asylum Escapades,Action;Adventure;Indie Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats Adventure;Action;Indie
Goo Saga,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Leaderboards;Includes level editor Adventure;Action;Indie
The Dungeons of Castle Madness,Adventure;Indie;RPG Single-player;Steam Achievements;Steam Trading Cards RPG;Indie;Adventure
Unexplored,Action;Adventure;Indie;RPG Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Indie;RPG;Action
Downward,Adventure;Indie Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Parkour;First-Person;Adventure
CoLab,Casual;Indie Single-player;Full controller support Indie;Casual;Puzzle
Pong Champion VR,Action;Casual;Indie;Simulation;Sports;Early Access Single-player Early Access;Simulation;Sports
Drone: Remote Tactical Warfare,Violent;Action;Adventure;Strategy;Early Access Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Early Access;Action;Violent
Mr.President!,Action;Adventure;Indie;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Memes;Funny;Action
Bicyclism EP,Action;Indie;Racing;Simulation;Sports Single-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats Racing;Sports;Action
DOGOS,Action;Indie;Simulation Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Action;Indie;Simulation
Sceal: An Irish Folklore Adventure,Adventure;Casual;Indie Single-player;Steam Achievements Adventure;Indie;Casual
Baseball Mogul Diamond,Casual;Simulation;Sports;Strategy Single-player Sports;Simulation;Strategy
The Superfluous,Action;Adventure;Indie Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards Action;Indie;Adventure
Tesla's Tower: The Wardenclyffe Mystery,Adventure;Casual Single-player Adventure;Casual;Hidden Object
The Wire,Casual Single-player Casual;Simulation;VR
Lily´s Epic Quest,Casual;Indie Single-player;Steam Trading Cards Casual;Indie;Match 3
Club Manager 2017,Simulation;Sports;Strategy Single-player;Shared/Split Screen;Stats;Includes level editor Strategy;Sports;Simulation
Strike Squadron: Caracará,Action;Simulation Single-player;Steam Achievements;Steam Trading Cards Action;Simulation
The Wizard's Lair,Adventure;RPG Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support Adventure;RPG;Rogue-like
Black Sand Drift,Casual;Indie Single-player;Steam Trading Cards;Partial Controller Support Indie;Casual;Shoot 'Em Up
Gone In November,Adventure;Indie Single-player;Steam Trading Cards Indie;Adventure;Walking Simulator
Vindictive Drive,Violent;Action;Indie Single-player;Steam Trading Cards Action;Indie;Violent
Island Simulator 2016,Adventure;Simulation;Early Access Single-player Early Access;Simulation;Adventure
Ashes of the Singularity: Escalation,Indie;Simulation;Strategy Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats Strategy;RTS;Sci-fi
Zzzz-Zzzz-Zzzz,Adventure;Casual;Indie Single-player;Steam Trading Cards Indie;Casual;Adventure
Zombitatos the end of the Pc master race,Action;Adventure;Casual;Indie;RPG;Strategy Single-player;Steam Trading Cards Indie;Casual;Adventure
BlackSmith HIT,Action;Casual;Indie Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards Casual;Action;Indie
